family,n,instances,avg_m,avg_lp_value,avg_rounded_size,avg_rounding_runtime_sec,avg_greedy_size,avg_ilp_value,avg_integrality_gap,max_integrality_gap,avg_rounded_vs_ilp,avg_rounded_vs_lp,max_rounded_vs_lp,pct_lp_integral
bipartite,12,2,9.0,4.5,4.5,9.615469025447965e-06,4.5,4.5,1.0,1.0,1.0,1.0,1.0,1.0
bipartite,16,2,29.5,8.0,8.0,1.0566989658400416e-05,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0
bipartite,22,2,34.0,9.5,9.5,1.1370022548362613e-05,9.5,9.5,1.0,1.0,1.0,1.0,1.0,1.0
bipartite,24,2,74.5,12.0,12.0,1.2324017006903887e-05,12.5,12.0,1.0,1.0,1.0,1.0,1.0,1.0
complete,4,1,6.0,2.0,4.0,6.818037945777178e-06,3.0,3.0,1.5,1.5,1.3333333333333333,2.0,2.0,0.0
complete,6,1,15.0,3.0,6.0,9.417999535799026e-06,5.0,5.0,1.6666666666666667,1.6666666666666667,1.2,2.0,2.0,0.0
complete,8,1,28.0,4.0,8.0,1.0769988875836134e-05,7.0,7.0,1.75,1.75,1.1428571428571428,2.0,2.0,0.0
complete,10,1,45.0,5.0,10.0,9.512004908174276e-06,9.0,9.0,1.8,1.8,1.1111111111111112,2.0,2.0,0.0
complete,12,1,66.0,6.0,12.0,1.1604046449065208e-05,11.0,11.0,1.8333333333333333,1.8333333333333333,1.0909090909090908,2.0,2.0,0.0
complete,16,1,120.0,8.0,16.0,1.0558986105024815e-05,15.0,15.0,1.875,1.875,1.0666666666666667,2.0,2.0,0.0
complete,20,1,190.0,10.0,20.0,1.3635959476232529e-05,19.0,19.0,1.9,1.9,1.0526315789473684,2.0,2.0,0.0
complete,24,1,276.0,12.0,24.0,1.1117954272776842e-05,23.0,23.0,1.9166666666666667,1.9166666666666667,1.0434782608695652,2.0,2.0,0.0
cycle,5,1,5.0,2.5,5.0,9.237031918019056e-06,3.0,3.0,1.2,1.2,1.6666666666666667,2.0,2.0,0.0
cycle,6,1,6.0,3.0,3.0,7.433001883327961e-06,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
cycle,7,1,7.0,3.5,7.0,9.119976311922073e-06,4.0,4.0,1.1428571428571428,1.1428571428571428,1.75,2.0,2.0,0.0
cycle,8,1,8.0,4.0,4.0,6.977992597967386e-06,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
cycle,9,1,9.0,4.5,9.0,9.235984180122614e-06,5.0,5.0,1.1111111111111112,1.1111111111111112,1.8,2.0,2.0,0.0
cycle,10,1,10.0,5.0,5.0,1.1202006135135889e-05,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0
cycle,11,1,11.0,5.5,11.0,9.606999810785055e-06,6.0,6.0,1.0909090909090908,1.0909090909090908,1.8333333333333333,2.0,2.0,0.0
cycle,15,1,15.0,7.5,15.0,1.1604977771639824e-05,8.0,8.0,1.0666666666666667,1.0666666666666667,1.875,2.0,2.0,0.0
grid,9,1,12.0,4.0,4.0,7.228984031826258e-06,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
grid,16,1,24.0,8.0,8.0,1.733197132125497e-05,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0
grid,24,1,38.0,12.0,12.0,1.2568023521453142e-05,12.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0
grid,25,1,40.0,12.0,12.0,1.0520045179873705e-05,13.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0
near_clique,12,1,60.0,6.0,12.0,7.400987669825554e-06,10.0,10.0,1.6666666666666667,1.6666666666666667,1.2,2.0,2.0,0.0
near_clique,16,1,102.0,8.0,16.0,1.1885014828294516e-05,13.0,13.0,1.625,1.625,1.2307692307692308,2.0,2.0,0.0
near_clique,20,2,161.5,10.0,20.0,1.1390482541173697e-05,17.5,17.5,1.75,1.8,1.1437908496732025,2.0,2.0,0.0
random,10,15,23.466666666666665,4.333333333333333,7.733333333333333,8.543728229900201e-06,5.866666666666666,5.733333333333333,1.2835978835978836,1.6,1.331904761904762,1.6952380952380954,2.0,0.26666666666666666
random,16,15,61.666666666666664,7.633333333333334,14.4,1.0641124875595172e-05,10.666666666666666,10.6,1.3711111111111112,1.75,1.3905187405187405,1.8577777777777778,2.0,0.13333333333333333
random,24,15,146.93333333333334,11.933333333333334,23.4,1.439865833769242e-05,17.933333333333334,17.6,1.472222222222222,1.75,1.3681872032336428,1.9575757575757575,2.0,0.0
random,32,15,261.93333333333334,15.966666666666667,31.933333333333334,1.8354466495414574e-05,25.4,,,,,2.0,2.0,0.0
